scene,SOD_valid_pixels,SOD_f1_percent,SOD_mIoU_percent,SOD_OA_percent
S1A_EW_GRDM_1SDH_20231106T115021_20231106T115125_051096_062971_BF5B,51066974,99.361,20.891,98.814
S1A_EW_GRDM_1SDH_20231113T114115_20231113T114215_051198_062D07_69CC,37795391,99.036,25.779,98.55
S1A_EW_GRDM_1SDH_20231113T114215_20231113T114315_051198_062D07_C8DA,38808700,99.175,27.103,98.59
S1A_EW_GRDM_1SDH_20231126T122242_20231126T122342_051388_063382_B939,50399516,90.952,22.811,92.019
S1A_EW_GRDM_1SDH_20231203T121431_20231203T121531_051490_0636F8_F6AE,51216388,80.042,32.371,75.593
S1A_EW_GRDM_1SDH_20231219T114113_20231219T114213_051723_063F34_712C,26187289,74.218,29.491,75.721
S1A_EW_GRDM_1SDH_20231219T114213_20231219T114313_051723_063F34_7B73,36523650,83.323,27.263,82.135
S1A_EW_GRDM_1SDH_20231224T115019_20231224T115123_051796_0641AE_3C31,28347470,94.666,35.551,93.68
