scene,SOD_valid_pixels,SOD_f1_percent,SOD_mIoU_percent,SOD_OA_percent
S1A_EW_GRDM_1SDH_20250901T151203_20250901T151303_060796_079176_F594,22438851,95.671,37.535,91.896
S1A_EW_GRDM_1SDH_20250914T155210_20250914T155310_060986_079916_1F4D,63058580,96.903,55.485,96.813
S1A_EW_GRDM_1SDH_20250914T155310_20250914T155410_060986_079916_B404,22579790,98.013,38.406,96.182
S1A_EW_GRDM_1SDH_20250922T162505_20250922T162605_061103_079DC9_1337,61928454,98.764,96.687,98.787
S1A_EW_GRDM_1SDH_20251020T155210_20251020T155310_061511_07AE30_4B25,51882870,80.504,20.217,71.391
S1A_EW_GRDM_1SDH_20251020T155310_20251020T155410_061511_07AE30_AD9D,18467450,89.535,44.376,89.023
S1A_EW_GRDM_1SDH_20251103T153644_20251103T153744_061715_07B64E_E064,50959787,93.63,48.869,93.776
S1A_EW_GRDM_1SDH_20251117T151914_20251117T152014_061919_07BE46_E711,44564327,82.241,24.087,85.65
S1A_EW_GRDM_1SDH_20251130T160023_20251130T160123_062109_07C5A6_0175,51119900,93.973,24.758,93.433
S1C_EW_GRDM_1SDH_20250901T155901_20250901T160001_003933_007D54_746E,33817310,99.467,65.193,98.959
S1C_EW_GRDM_1SDH_20250901T160001_20250901T160101_003933_007D54_9162,19520620,99.304,39.449,98.62
S1C_EW_GRDM_1SDH_20250907T151055_20250907T151155_004020_007FE2_F256,38797606,96.445,36.965,94.075
S1C_EW_GRDM_1SDH_20251006T151807_20251006T151907_004443_008CD3_E3FC,71756491,96.881,29.668,96.439
S1C_EW_GRDM_1SDH_20251006T151907_20251006T152007_004443_008CD3_4CA3,32572892,93.342,47.662,92.655
S1C_EW_GRDM_1SDH_20251103T162333_20251103T162433_004852_009966_F8A0,39011320,86.192,18.52,82.372
S1C_EW_GRDM_1SDH_20251117T160809_20251117T160909_005056_00A03F_AA14,11613062,86.875,38.43,86.261
S1C_EW_GRDM_1SDH_20251130T150955_20251130T151055_005245_00A697_8CB2,53571196,68.149,19.438,70.744
S1C_EW_GRDM_1SDH_20251130T151055_20251130T151155_005245_00A697_F8C6,15435801,59.901,20.514,58.026
S1C_EW_GRDM_1SDH_20251229T151804_20251229T151904_005668_00B521_169F,26006325,67.109,19.835,67.276
S1C_EW_GRDM_1SDH_20251229T151904_20251229T152004_005668_00B521_EA17,29566051,4.152,15.343,4.995
